Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,332E-2; 1,745E0; -2,215E0; 0,000E0; 0,000E0
3; 6,664E-2; 1,747E0; -2,181E0; 4,142E-2; 1,011E0
4; 9,995E-2; 1,742E0; -2,176E0; -1,440E-1; 1,534E-1
5; 1,333E-1; 1,735E0; -2,228E0; -2,177E-1; -1,557E0
6; 1,666E-1; 1,729E0; -2,272E0; -1,631E-1; -1,327E0
7; 1,999E-1; 1,725E0; -2,289E0; -1,338E-1; -4,978E-1
8; 2,332E-1; 1,715E0; -2,299E0; -2,875E-1; -3,190E-1
9; 2,665E-1; 1,695E0; -2,327E0; -6,126E-1; -8,221E-1
10; 2,999E-1; 1,693E0; -2,335E0; -4,579E-2; -2,640E-1
11; 3,332E-1; 1,694E0; -2,336E0; 2,351E-2; -1,270E-2
12; 3,665E-1; 1,690E0; -2,346E0; -1,076E-1; -2,966E-1
13; 3,998E-1; 1,674E0; -2,370E0; -4,995E-1; -7,383E-1
14; 4,331E-1; 1,656E0; -2,385E0; -5,436E-1; -4,252E-1
15; 4,665E-1; 1,637E0; -2,386E0; -5,558E-1; -5,920E-2
16; 4,998E-1; 1,618E0; -2,386E0; -5,706E-1; 2,089E-3
17; 5,331E-1; 1,611E0; -2,386E0; -2,047E-1; 1,902E-2
18; 5,664E-1; 1,610E0; -2,370E0; -3,337E-2; 4,727E-1
19; 5,997E-1; 1,610E0; -2,353E0; -1,388E-2; 5,140E-1
20; 6,330E-1; 1,616E0; -2,352E0; 1,752E-1; 1,813E-2
21; 6,664E-1; 1,629E0; -2,358E0; 4,177E-1; -1,619E-1
22; 6,997E-1; 1,643E0; -2,365E0; 4,000E-1; -2,157E-1
23; 7,330E-1; 1,651E0; -2,357E0; 2,373E-1; 2,286E-1
24; 7,663E-1; 1,663E0; -2,351E0; 3,821E-1; 2,011E-1
25; 7,996E-1; 1,679E0; -2,350E0; 4,726E-1; 2,947E-2
26; 8,330E-1; 1,693E0; -2,348E0; 4,063E-1; 5,916E-2
27; 8,663E-1; 1,691E0; -2,352E0; -6,176E-2; -1,344E-1
28; 8,996E-1; 1,678E0; -2,358E0; -3,794E-1; -1,745E-1
29; 9,329E-1; 1,668E0; -2,369E0; -2,995E-1; -3,338E-1
30; 9,662E-1; 1,665E0; -2,391E0; -9,376E-2; -6,458E-1
31; 9,995E-1; 1,669E0; -2,424E0; 1,367E-1; -9,927E-1
32; 1,033E0; 1,678E0; -2,463E0; 2,565E-1; -1,170E0
33; 1,066E0; 1,674E0; -2,489E0; -1,299E-1; -8,023E-1
34; 1,099E0; 1,667E0; -2,497E0; -1,914E-1; -2,392E-1
35; 1,133E0; 1,650E0; -2,450E0; -5,195E-1; 1,415E0
36; 1,166E0; 1,593E0; -2,257E0; -1,701E0; 5,788E0
37; 1,199E0; 1,475E0; -1,935E0; -3,565E0; 9,678E0
38; 1,233E0; 1,285E0; -1,298E0; -5,688E0; 1,911E1
39; 1,266E0; 1,096E0; -2,513E-1; -5,659E0; 3,142E1
40; 1,299E0; 9,328E-1; 1,028E0; -4,913E0; 3,841E1
41; 1,333E0; 8,034E-1; 2,469E0; -3,882E0; 4,322E1
42; 1,366E0; 7,303E-1; 4,066E0; -2,196E0; 4,793E1
43; 1,399E0; 6,221E-1; 5,650E0; -3,247E0; 4,754E1
44; 1,433E0; 5,053E-1; 7,189E0; -3,504E0; 4,619E1
45; 1,466E0; 6,402E-1; 8,771E0; 4,049E0; 4,750E1
46; 1,499E0; 6,985E-1; 1,006E1; 1,750E0; 3,882E1
47; 1,533E0; 6,801E-1; 1,104E1; -5,521E-1; 2,915E1
48; 1,566E0; 6,856E-1; 1,162E1; 1,650E-1; 1,748E1
49; 1,599E0; 7,611E-1; 1,184E1; 2,266E0; 6,740E0
50; 1,633E0; 7,532E-1; 1,169E1; -2,370E-1; -4,604E0
51; 1,666E0; 7,870E-1; 1,112E1; 1,015E0; -1,718E1
52; 1,699E0; 8,589E-1; 1,009E1; 2,156E0; -3,077E1
53; 1,733E0; 9,659E-1; 8,891E0; 3,212E0; -3,604E1
54; 1,766E0; 1,030E0; 7,520E0; 1,910E0; -4,114E1
55; 1,799E0; 1,163E0; 5,903E0; 4,004E0; -4,855E1
56; 1,832E0; 1,502E0; 2,744E0; 1,016E1; -9,481E1
57; 1,866E0; 1,583E0; 1,706E0; 2,435E0; -3,114E1
58; 1,899E0; 1,792E0; 4,347E-1; 6,285E0; -3,817E1
59; 1,932E0; 1,934E0; -5,993E-1; 4,273E0; -3,103E1
60; 1,966E0; 2,064E0; -1,250E0; 3,903E0; -1,954E1
61; 1,999E0; 2,165E0; -1,568E0; 3,027E0; -9,531E0
62; 2,032E0; 2,254E0; -1,498E0; 2,655E0; 2,108E0
63; 2,066E0; 2,319E0; -1,079E0; 1,950E0; 1,258E1
64; 2,099E0; 2,367E0; -3,379E-1; 1,443E0; 2,224E1
65; 2,132E0; 2,367E0; 7,274E-1; 7,386E-3; 3,197E1
66; 2,166E0; 2,315E0; 1,823E0; -1,562E0; 3,289E1
67; 2,199E0; 2,350E0; 3,562E0; 1,056E0; 5,220E1
68; 2,232E0; 2,237E0; 5,137E0; -3,411E0; 4,726E1
69; 2,266E0; 2,274E0; 6,643E0; 1,111E0; 4,519E1
70; 2,299E0; 2,279E0; 8,281E0; 1,552E-1; 4,919E1
71; 2,332E0; 2,150E0; 9,633E0; -3,864E0; 4,056E1
72; 2,366E0; 1,999E0; 1,077E1; -4,536E0; 3,413E1
73; 2,399E0; 1,853E0; 1,164E1; -4,373E0; 2,624E1
74; 2,432E0; 1,682E0; 1,213E1; -5,151E0; 1,443E1
75; 2,466E0; 1,566E0; 1,222E1; -3,482E0; 2,984E0
76; 2,499E0; 1,449E0; 1,195E1; -3,499E0; -8,222E0
77; 2,532E0; 1,327E0; 1,121E1; -3,673E0; -2,233E1
78; 2,565E0; 1,077E0; 1,009E1; -7,488E0; -3,338E1
79; 2,599E0; 9,088E-1; 8,786E0; -5,055E0; -3,927E1
80; 2,632E0; 8,957E-1; 7,319E0; -3,930E-1; -4,402E1
81; 2,665E0; 8,422E-1; 5,704E0; -1,605E0; -4,849E1
82; 2,699E0; 7,142E-1; 4,129E0; -3,842E0; -4,726E1
83; 2,732E0; 6,416E-1; 2,669E0; -2,179E0; -4,380E1
84; 2,765E0; 5,895E-1; 1,323E0; -1,562E0; -4,041E1
85; 2,799E0; 6,011E-1; 2,367E-1; 3,459E-1; -3,261E1
86; 2,832E0; 6,806E-1; -6,113E-1; 2,389E0; -2,545E1
87; 2,865E0; 7,464E-1; -1,125E0; 1,972E0; -1,543E1
88; 2,899E0; 7,793E-1; -1,340E0; 9,891E-1; -6,452E0
89; 2,932E0; 8,818E-1; -1,193E0; 3,077E0; 4,412E0
90; 2,965E0; 9,965E-1; -7,087E-1; 3,442E0; 1,454E1
91; 2,999E0; 1,170E0; 6,716E-2; 5,201E0; 2,329E1
92; 3,032E0; 1,285E0; 1,136E0; 3,470E0; 3,208E1
93; 3,065E0; 1,412E0; 2,453E0; 3,810E0; 3,954E1
94; 3,099E0; 1,577E0; 3,983E0; 4,929E0; 4,591E1
95; 3,132E0; 1,765E0; 5,561E0; 5,661E0; 4,736E1
96; 3,165E0; 2,022E0; 7,161E0; 7,700E0; 4,801E1
97; 3,199E0; 2,183E0; 8,760E0; 4,848E0; 4,800E1
98; 3,232E0; 2,249E0; 1,003E1; 1,958E0; 3,821E1
99; 3,265E0; 2,282E0; 1,111E1; 9,980E-1; 3,225E1
100; 3,298E0; 2,419E0; 1,191E1; 4,113E0; 2,413E1
101; 3,332E0; 2,497E0; 1,235E1; 2,335E0; 1,330E1
102; 3,365E0; 2,530E0; 1,232E1; 1,012E0; -9,470E-1
103; 3,398E0; 2,552E0; 1,188E1; 6,567E-1; -1,336E1
104; 3,432E0; 2,514E0; 1,108E1; -1,154E0; -2,398E1
105; 3,465E0; 2,440E0; 9,932E0; -2,209E0; -3,443E1
106; 3,498E0; 2,390E0; 8,570E0; -1,496E0; -4,088E1
107; 3,532E0; 2,361E0; 7,103E0; -8,756E-1; -4,401E1
108; 3,565E0; 2,246E0; 5,493E0; -3,468E0; -4,835E1
