Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,332E-2; ; ; ;
3; 6,664E-2; ; ; ;
4; 9,995E-2; ; ; ;
5; 1,333E-1; ; ; ;
6; 1,666E-1; ; ; ;
7; 1,999E-1; ; ; ;
8; 2,332E-1; ; ; ;
9; 2,665E-1; ; ; ;
10; 2,999E-1; ; ; ;
11; 3,332E-1; ; ; ;
12; 3,665E-1; ; ; ;
13; 3,998E-1; ; ; ;
14; 4,331E-1; ; ; ;
15; 4,665E-1; ; ; ;
16; 4,998E-1; ; ; ;
17; 5,331E-1; ; ; ;
18; 5,664E-1; ; ; ;
19; 5,997E-1; ; ; ;
20; 6,330E-1; ; ; ;
21; 6,664E-1; ; ; ;
22; 6,997E-1; ; ; ;
23; 7,330E-1; ; ; ;
24; 7,663E-1; ; ; ;
25; 7,996E-1; ; ; ;
26; 8,329E-1; ; ; ;
27; 8,663E-1; ; ; ;
28; 8,996E-1; ; ; ;
29; 9,329E-1; ; ; ;
30; 9,662E-1; ; ; ;
31; 9,995E-1; ; ; ;
32; 1,033E0; ; ; ;
33; 1,066E0; ; ; ;
34; 1,099E0; ; ; ;
35; 1,133E0; ; ; ;
36; 1,166E0; ; ; ;
37; 1,199E0; ; ; ;
38; 1,233E0; ; ; ;
39; 1,266E0; ; ; ;
40; 1,299E0; ; ; ;
41; 1,333E0; ; ; ;
42; 1,366E0; ; ; ;
43; 1,399E0; ; ; ;
44; 1,433E0; ; ; ;
45; 1,466E0; ; ; ;
46; 1,499E0; ; ; ;
47; 1,533E0; ; ; ;
48; 1,566E0; ; ; ;
49; 1,599E0; ; ; ;
50; 1,633E0; ; ; ;
51; 1,666E0; ; ; ;
52; 1,699E0; ; ; ;
53; 1,733E0; ; ; ;
54; 1,766E0; ; ; ;
55; 1,799E0; ; ; ;
56; 1,832E0; ; ; ;
57; 1,866E0; ; ; ;
58; 1,899E0; ; ; ;
59; 1,932E0; ; ; ;
60; 1,966E0; ; ; ;
61; 1,999E0; ; ; ;
62; 2,032E0; ; ; ;
63; 2,066E0; ; ; ;
64; 2,099E0; ; ; ;
65; 2,132E0; ; ; ;
66; 2,166E0; ; ; ;
67; 2,199E0; ; ; ;
68; 2,232E0; ; ; ;
69; 2,266E0; ; ; ;
70; 2,299E0; ; ; ;
71; 2,332E0; ; ; ;
72; 2,366E0; ; ; ;
73; 2,399E0; ; ; ;
74; 2,432E0; ; ; ;
75; 2,466E0; ; ; ;
76; 2,499E0; ; ; ;
77; 2,532E0; ; ; ;
78; 2,565E0; ; ; ;
79; 2,599E0; ; ; ;
