Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; 1,058E1; -1,187E1; ;
2; 3,332E-2; 1,058E1; -1,187E1; -1,881E-2; -2,356E-2
3; 6,663E-2; 1,057E1; -1,187E1; -1,258E-1; 8,658E-3
4; 9,995E-2; 1,057E1; -1,188E1; 8,199E-2; -1,348E-1
5; 1,333E-1; 1,057E1; -1,189E1; -4,925E-2; -2,307E-1
6; 1,666E-1; 1,057E1; -1,189E1; -1,659E-1; -7,893E-2
7; 1,999E-1; 1,056E1; -1,190E1; -1,056E-1; -2,238E-1
8; 2,332E-1; 1,056E1; -1,189E1; -3,138E-2; 3,515E-1
9; 2,665E-1; 1,056E1; -1,188E1; 7,602E-2; 4,821E-2
10; 2,999E-1; 1,055E1; -1,189E1; -3,210E-1; -1,185E-1
11; 3,332E-1; 1,056E1; -1,189E1; 1,820E-1; 5,385E-2
12; 3,665E-1; 1,056E1; -1,188E1; 2,738E-2; 6,636E-2
13; 3,998E-1; 1,055E1; -1,189E1; -1,774E-1; -2,085E-1
14; 4,331E-1; 1,055E1; -1,188E1; -9,218E-2; 4,048E-1
15; 4,664E-1; 1,056E1; -1,188E1; 1,948E-1; 3,342E-2
16; 4,998E-1; 1,055E1; -1,188E1; -1,190E-1; -1,177E-1
17; 5,331E-1; 1,056E1; -1,188E1; 2,106E-1; 4,116E-2
18; 5,664E-1; 1,057E1; -1,188E1; 1,862E-1; 8,803E-2
19; 5,997E-1; 1,054E1; -1,187E1; -6,846E-1; 2,379E-2
20; 6,330E-1; 1,055E1; -1,188E1; 2,008E-1; -1,084E-1
21; 6,663E-1; 1,055E1; -1,188E1; -3,868E-2; -8,265E-2
22; 6,997E-1; 1,055E1; -1,188E1; 6,120E-2; 7,227E-2
23; 7,330E-1; 1,056E1; -1,188E1; 1,340E-1; 7,886E-2
24; 7,663E-1; 1,055E1; -1,188E1; -1,283E-1; 1,997E-2
25; 7,996E-1; 1,057E1; -1,188E1; 4,952E-1; -3,905E-2
26; 8,329E-1; 1,057E1; -1,187E1; 2,388E-3; 1,275E-1
27; 8,662E-1; 1,058E1; -1,187E1; 1,928E-1; -4,999E-2
28; 8,996E-1; 1,059E1; -1,188E1; 4,221E-1; -5,580E-2
29; 9,329E-1; 1,060E1; -1,188E1; 2,667E-1; -6,185E-2
30; 9,662E-1; 1,059E1; -1,188E1; -2,457E-1; 1,611E-2
31; 9,995E-1; 1,059E1; -1,188E1; -1,054E-1; 1,622E-2
32; 1,033E0; 1,059E1; -1,188E1; -2,617E-3; -3,894E-2
33; 1,066E0; 1,057E1; -1,187E1; -5,008E-1; 1,560E-1
34; 1,099E0; 1,056E1; -1,187E1; -1,849E-1; 1,161E-1
35; 1,133E0; 1,057E1; -1,187E1; 3,054E-1; -6,492E-2
36; 1,166E0; 1,057E1; -1,187E1; -2,268E-1; 8,265E-2
37; 1,199E0; 1,058E1; -1,187E1; 2,742E-1; -3,960E-2
38; 1,233E0; 1,058E1; -1,187E1; 2,307E-1; -2,028E-2
39; 1,266E0; 1,057E1; -1,187E1; -4,694E-1; 2,334E-2
40; 1,299E0; 1,058E1; -1,187E1; 3,629E-1; 4,637E-2
41; 1,333E0; 1,058E1; -1,186E1; 8,095E-2; 1,545E-1
42; 1,366E0; 1,059E1; -1,186E1; 2,836E-1; 5,085E-2
43; 1,399E0; 1,059E1; -1,186E1; -2,251E-3; 4,505E-2
44; 1,433E0; 1,059E1; -1,186E1; 1,698E-2; -1,405E-1
45; 1,466E0; 1,058E1; -1,188E1; -3,132E-1; -3,613E-1
46; 1,499E0; 1,058E1; -1,188E1; -1,125E-1; -7,990E-3
47; 1,533E0; 1,056E1; -1,187E1; -4,264E-1; 1,221E-1
48; 1,566E0; 1,056E1; -1,188E1; -5,221E-2; -1,196E-1
49; 1,599E0; 1,058E1; -1,188E1; 5,424E-1; -6,412E-2
50; 1,633E0; 1,058E1; -1,188E1; 9,293E-2; 6,857E-2
51; 1,666E0; 1,059E1; -1,188E1; 2,174E-1; 1,422E-2
52; 1,699E0; 1,060E1; -1,188E1; 1,943E-1; -1,850E-1
53; 1,732E0; 1,060E1; -1,187E1; 2,926E-2; 3,834E-1
54; 1,766E0; 1,059E1; -1,186E1; -2,686E-1; 2,224E-1
55; 1,799E0; 1,060E1; -1,187E1; 3,599E-1; -1,918E-1
56; 1,832E0; 1,059E1; -1,187E1; -4,762E-1; -1,216E-1
57; 1,866E0; 1,059E1; -1,188E1; 2,914E-1; -1,431E-1
58; 1,899E0; 1,058E1; -1,188E1; -2,967E-1; -2,681E-3
59; 1,932E0; 1,057E1; -1,187E1; -5,763E-1; 9,986E-2
60; 1,966E0; 1,056E1; -1,186E1; -1,292E-1; 3,199E-1
61; 1,999E0; 1,057E1; -1,186E1; 4,004E-1; 1,611E-1
62; 2,032E0; 1,058E1; -1,186E1; 7,832E-2; 5,804E-2
63; 2,066E0; 1,057E1; -1,186E1; -2,180E-1; -1,394E-1
64; 2,099E0; 1,057E1; -1,186E1; -1,894E-2; 5,526E-3
65; 2,132E0; 1,057E1; -1,185E1; -6,681E-2; 2,159E-1
