Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit; Objekt 2 x-Koordinate; Objekt 2 y-Koordinate; Objekt 2 x-Geschwindigkeit; Objekt 2 y-Geschwindigkeit; Objekt 3 x-Koordinate; Objekt 3 y-Koordinate; Objekt 3 x-Geschwindigkeit; Objekt 3 y-Geschwindigkeit; Objekt 4 x-Koordinate; Objekt 4 y-Koordinate; Objekt 4 x-Geschwindigkeit; Objekt 4 y-Geschwindigkeit
1; 0,000E0; 8,342E-3; -4,553E-1; ;; ; ; ;; ; ; ;; ; ; ;
2; 1,667E-2; -3,446E-3; -4,351E-1; -7,071E-1; 1,210E0; ; ; ;; ; ; ;; ; ; ;
3; 3,334E-2; -1,129E-2; -4,184E-1; -4,705E-1; 1,002E0; ; ; ;; ; ; ;; ; ; ;
4; 5,001E-2; -2,440E-2; -3,994E-1; -7,865E-1; 1,141E0; ; ; ;; ; ; ;; ; ; ;
5; 6,669E-2; -3,863E-2; -3,786E-1; -8,532E-1; 1,247E0; ; ; ;; ; ; ;; ; ; ;
6; 8,336E-2; -5,589E-2; -3,674E-1; -1,035E0; 6,728E-1; ; ; ;; ; ; ;; ; ; ;
7; 1,000E-1; -7,506E-2; -3,530E-1; -1,150E0; 8,622E-1; ; ; ;; ; ; ;; ; ; ;
8; 1,167E-1; -9,267E-2; -3,445E-1; -1,056E0; 5,132E-1; ; ; ;; ; ; ;; ; ; ;
9; 1,334E-1; -1,109E-1; -3,316E-1; -1,093E0; 7,744E-1; ; ; ;; ; ; ;; ; ; ;
10; 1,500E-1; -1,356E-1; -3,133E-1; -1,482E0; 1,095E0; ; ; ;; ; ; ;; ; ; ;
11; 1,667E-1; -1,617E-1; -2,958E-1; -1,563E0; 1,049E0; ; ; ;; ; ; ;; ; ; ;
12; 1,834E-1; -1,845E-1; -2,858E-1; -1,369E0; 6,025E-1; ; ; ;; ; ; ;; ; ; ;
13; 2,001E-1; -2,065E-1; -2,757E-1; -1,322E0; 6,083E-1; ; ; ;; ; ; ;; ; ; ;
14; 2,167E-1; -2,293E-1; -2,725E-1; -1,369E0; 1,872E-1; ; ; ;; ; ; ;; ; ; ;
15; 2,334E-1; -2,546E-1; -2,694E-1; -1,512E0; 1,911E-1; ; ; ;; ; ; ;; ; ; ;
16; 2,501E-1; -2,816E-1; -2,632E-1; -1,622E0; 3,679E-1; ; ; ;; ; ; ;; ; ; ;
17; 2,667E-1; -3,083E-1; -2,558E-1; -1,599E0; 4,435E-1; ; ; ;; ; ; ;; ; ; ;
18; 2,834E-1; -3,287E-1; -2,564E-1; -1,225E0; -3,645E-2; ; ; ;; ; ; ;; ; ; ;
19; 3,001E-1; -3,544E-1; -2,517E-1; -1,543E0; 2,847E-1; ; ; ;; ; ; ;; ; ; ;
20; 3,168E-1; -3,773E-1; -2,587E-1; -1,376E0; -4,231E-1; ; ; ;; ; ; ;; ; ; ;
21; 3,334E-1; -4,008E-1; -2,679E-1; -1,407E0; -5,521E-1; ; ; ;; ; ; ;; ; ; ;
22; 3,501E-1; -4,260E-1; -2,716E-1; -1,515E0; -2,208E-1; ; ; ;; ; ; ;; ; ; ;
23; 3,668E-1; -4,438E-1; -2,823E-1; -1,067E0; -6,378E-1; ; ; ;; ; ; ;; ; ; ;
24; 3,834E-1; -4,561E-1; -2,881E-1; -7,343E-1; -3,497E-1; ; ; ;; ; ; ;; ; ; ;
25; 4,001E-1; -4,802E-1; -3,010E-1; -1,449E0; -7,770E-1; ; ; ;; ; ; ;; ; ; ;
26; 4,168E-1; -4,984E-1; -3,062E-1; -1,093E0; -3,107E-1; ; ; ;; ; ; ;; ; ; ;
27; 4,335E-1; -5,100E-1; -3,142E-1; -6,940E-1; -4,777E-1; ; ; ;; ; ; ;; ; ; ;
28; 4,501E-1; -5,187E-1; -3,308E-1; -5,181E-1; -9,989E-1; ; ; ;; ; ; ;; ; ; ;
29; 4,668E-1; -5,335E-1; -3,453E-1; -8,908E-1; -8,666E-1; ; ; ;; ; ; ;; ; ; ;
30; 4,835E-1; -5,475E-1; -3,532E-1; -8,375E-1; -4,739E-1; ; ; ;; ; ; ;; ; ; ;
31; 5,001E-1; -5,600E-1; -3,558E-1; -7,538E-1; -1,564E-1; ; ; ;; ; ; ;; ; ; ;
32; 5,168E-1; -5,627E-1; -3,537E-1; -1,629E-1; 1,274E-1; ; ; ;; ; ; ;; ; ; ;
33; 5,335E-1; -5,639E-1; -3,526E-1; -6,867E-2; 6,242E-2; ; ; ;; ; ; ;; ; ; ;
34; 5,502E-1; -5,635E-1; -3,529E-1; 2,221E-2; -1,782E-2; ; ; ;; ; ; ;; ; ; ;
35; 5,668E-1; -5,700E-1; -3,719E-1; -3,859E-1; -1,140E0; ; ; ;; ; ; ;; ; ; ;
36; 5,835E-1; -5,723E-1; -3,859E-1; -1,380E-1; -8,389E-1; ; ; ;; ; ; ;; ; ; ;
37; 6,002E-1; -5,701E-1; -3,961E-1; 1,317E-1; -6,087E-1; ; ; ;; ; ; ;; ; ; ;
38; 6,168E-1; -5,651E-1; -3,969E-1; 2,974E-1; -5,165E-2; ; ; ;; ; ; ;; ; ; ;
39; 6,335E-1; -5,532E-1; -3,944E-1; 7,142E-1; 1,495E-1; ; ; ;; ; ; ;; ; ; ;
40; 6,502E-1; -5,417E-1; -3,870E-1; 6,884E-1; 4,447E-1; ; ; ;; ; ; ;; ; ; ;
41; 6,669E-1; -5,296E-1; -3,766E-1; 7,280E-1; 6,223E-1; ; ; ;; ; ; ;; ; ; ;
42; 6,835E-1; -5,152E-1; -3,713E-1; 8,598E-1; 3,229E-1; ; ; ;; ; ; ;; ; ; ;
43; 7,002E-1; -5,050E-1; -3,725E-1; 6,123E-1; -7,432E-2; ; ; ;; ; ; ;; ; ; ;
44; 7,169E-1; -4,922E-1; -3,703E-1; 7,698E-1; 1,334E-1; ; ; ;; ; ; ;; ; ; ;
45; 7,335E-1; -4,757E-1; -3,618E-1; 9,877E-1; 5,064E-1; ; ; ;; ; ; ;; ; ; ;
